"Märke","Modell","Kaross","Beskrivning","Drivmedel","Drivlina","Sittplatser","Styrkor","Svagheter","Passar för","Bättre alternativ"
"Mazda","MX-30","SUV","Snygg liten elbil för stad. R-EV-versionen har Wankelmotor som range extender. Fin interiör men kort elräckvidd i ren EV-version.","El; Laddhybrid (Wankel R-EV)","Tvåhjulsdrift","4","Fin interiör; Unik Wankel-lösning; Karaktärsfull","Kort elräckvidd; Begränsad praktisk användning","Designorienterade EV-köpare",""
"Mercedes-Benz","B-Klass","Kompaktvan","Praktisk premium-MPV. Diesel eller laddhybrid är vanligaste valen. Enkel att kliva i och ur men inte inspirerande att köra.","Bensin; Diesel; Laddhybrid","Tvåhjulsdrift","5","Enkel ergonomi; Praktisk; Bra för äldre förare","Inte inspirerande att köra; Inte populär modell","Äldre förare; Praktiska familjer","for_familj: BMW 2-serie Active Tourer"
"Mercedes-Benz","C-Klass","Sedan/Kombi","Bekväm premiumsedan/kombi för vardag och långresa. C300e laddhybrid är populär. Fin interiör och komfort men dyra tillval.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Komfort; Premiuminteriör; Tyst kupé","Dyr extrautrustning; Komplex elektronik; Dyra verkstäder","Tjänstebilsföraren; Familjer som värdesätter komfort","for_sportighet: BMW 3-serie"
"Mercedes-Benz","CLA","Sedan","Snygg liten premiumsedan. CLA 250e laddhybrid är populär. Modern interiör men begränsat huvudutrymme bak.","Bensin; Diesel; Laddhybrid; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Modern interiör; Snygg design; Bra teknik","Begränsat huvudutrymme bak; Trång","Designorienterade förare","for_korning: BMW 2-serie Gran Coupé"
"Mercedes-Benz","CLE Coupé","Coupé","Elegant GT-coupé för vardag och långresa. CLE 300 är vanligt val. Hög komfort och snygg design. Ersätter både C-coupén och E-coupén.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","4","Hög komfort; Snygg design; Bra långfärdsbil","Dyr; Mindre praktisk än sedan","Designorienterad köpare",""
"Mercedes-Benz","E-Klass Kombi","Kombi","Fantastisk långfärdsbil med stor komfort. Populär som tjänstebil. Mycket bagage och hög kvalitet men dyr.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Fantastisk långfärdsbil; Stor komfort; Mycket bagage","Hög inköpskostnad; Dyr service; Stor i stad","Långpendlare; Tjänstebilsföraren",""
"Mercedes-Benz","GLA","SUV","Kompakt premium-SUV för vardagen. 250e laddhybrid är populär. Bekväm och lätt att leva med men inte lika rymlig som större SUV:ar.","Bensin; Diesel; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Bekväm; Lätt att leva med; Premium-känsla","Mindre rymlig än rivaler","Pendlaren som vill ha kompakt premium-SUV","for_korgladje: BMW X1"
"Mercedes-Benz","GLB","SUV","Kompakt premium-SUV med möjlighet till sju säten. 250 4MATIC är populär. Praktisk för storleken men inte lika premium som större Mercedes.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","7","Sju säten möjligt; Praktisk för storleken; Bra fyrhjulsdrift","Inte lika premium som större Mercedes; Trångt på tredje raden","Familjer som behöver sju säten i kompakt format","for_korning: BMW X1"
"Mercedes-Benz","GLC","SUV","Premium-SUV med hög komfort. 300e 4MATIC är populär laddhybrid. Tyst och bekväm men inte lika rolig som BMW X3.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Komfortabel SUV; Tyst; Premium-känsla","Inte lika rolig att köra som BMW X3; Dyra tillval","Familjer som värdesätter komfort","for_korning: BMW X3"
"Mercedes-Benz","GLE","SUV","Stor premium-SUV med möjlighet till sju säten. Konkurrerar mot BMW X5 och Audi Q7. Tyst och bekväm långfärdsbil.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","7","Tyst och bekväm; Sju säten möjligt; Stark dragbil","Dyr drift; Stor i stad","Storfamiljen; Långpendlare",""
"Mercedes-Benz","GLS","SUV","En av världens bästa stora SUV:ar. 450d är populärt val. Extrem komfort med sju säten. Mycket dyr.","Bensin; Diesel; Mildhybrid","Fyrhjulsdrift","7","Extrem komfort; Sju säten; Stark närvaro","Mycket dyr; Hög förbrukning; Stor","Storfamiljen som värdesätter lyx",""
"Mercedes-Benz","G-Klass","Terrängbil","Ikonisk lyxig terrängbil. G400d är vardagsvalet. Extrem närvaro och offroad-kapacitet men dyr och ineffektiv.","Bensin; Diesel; El","Fyrhjulsdrift","5","Ikonisk design; Extrem terrängkapacitet; Lyxig interiör","Mycket dyr; Hög förbrukning; Bullrig","Den som vill ha unik lyx-SUV","for_komfort: Range Rover"
"Mercedes-Benz","V-Klass","Familjevan","Lyxig familje- eller shuttlebil. 300d är populärt val. Extremt mycket plats och komfort men stor och dyr.","Diesel","Tvåhjulsdrift; Fyrhjulsdrift","8","Mycket plats; Hög komfort; Lyxig stor familjebil","Stor i stad; Dyr; Mer transportbil än personbil","Storfamiljen; Shuttle-användning",""
"Mercedes-Benz","EQA","SUV","Liten premium-elSUV baserad på GLA. 250+ är förstaval. Tyst och lättkörd i staden men inte särskilt rymlig.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Tyst; Lättkörd; Premium-känsla","Inte rymlig för familj; Begränsad räckvidd","Stadsboende med EV-behov","for_utrymme: Volvo EX30"
"Mercedes-Benz","EQB","SUV","El-SUV med möjlighet till sju säten. 300 4MATIC är populär. Praktisk och trygg familje-EV men inte effektiv jämfört med Tesla.","El","Tvåhjulsdrift; Fyrhjulsdrift","7","Sju säten möjligt; Praktisk; Premium-känsla","Inte effektiv jämfört med Tesla; Begränsad räckvidd","Storfamiljen med EV-behov","for_rackvidd: Tesla Model Y"
"Mercedes-Benz","EQE SUV","SUV","Lyxig och stor el-SUV med hög komfort. 350 är vanligt val. Fokus på komfort, inte sport.","El","Fyrhjulsdrift","5","Hög komfort; Tyst; Premium-känsla","Inte sportig; Tung","Den som vill ha lyxig el-SUV","for_korgladje: BMW iX"
"Mercedes-Benz","EQS SUV","SUV","Elektrisk lyx-SUV med max komfort. 450 4MATIC är populär. Fantastiskt tyst och bekväm men stor och dyr.","El","Fyrhjulsdrift","7","Fantastiskt tyst och bekväm; Sju säten möjligt; Lyxig","Stor och dyr; Polariserande design","Storfamiljen som värdesätter el-lyx","for_korgladje: BMW iX"
"Mercedes-AMG","CLE 53","Coupé","Lyxig GT med AMG-karaktär. 4MATIC+ är förstaval. Stark balans mellan komfort och prestanda.","Bensin; Mildhybrid","Fyrhjulsdrift","4","Bra balans komfort och prestanda; Karaktärsfull AMG; Snygg design","Dyr; Tung","Den som vill ha lyxig GT med kraft","for_ren_utrustning: BMW M4"
"MG","MG4","Halvkombi","Billig och snabb elbil. Trophy Long Range är populärt val. Mycket prestanda för pengarna men mjukvaran känns inte helt mogen.","El","Tvåhjulsdrift","5","Mycket prestanda för pengarna; Bra räckvidd; Snygg design","Mjukvaran inte mogen; Okänt andrahandsvärde","Budgetmedveten EV-köpare","for_kvalitet: Volkswagen ID.3"
"MG","MG4 XPower","Halvkombi","Billigaste sättet till brutal EV-prestanda. 435 hk AWD. Bra balans men kort räckvidd vid hård körning.","El","Fyrhjulsdrift","5","Brutal prestanda för pengarna; AWD; Bra körkänsla","Kort räckvidd vid hård körning","Entusiasten med budget",""
"MG","MG5","Kombi","Billig el-kombi. AWD-versionen är vanligaste valet. Mycket utrustning för priset men mjukvaran känns omogen.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket utrustning för priset; El-kombi är ovanligt","Mjukvaran känns omogen; Lägre kvalitetskänsla","Praktiska familjer med budget","for_kvalitet: Hyundai IONIQ 5"
"MG","HS","SUV","Billig familje-SUV med mycket utrustning. Laddhybrid är populär. Mycket bil för pengarna men inte lika raffinerad som europeiska rivaler.","Bensin; Laddhybrid","Tvåhjulsdrift","5","Mycket bil för pengarna; Bra utrustning","Inte lika raffinerad; Lägre kvalitetskänsla","Familjer med budget","for_kvalitet: Kia Sportage"
"MG","Cyberster","Cabriolet","Billig elektrisk roadster med wow-faktor. AWD-versionen är förstaval. Snabb och premium-känsla men okänt andrahandsvärde.","El","Tvåhjulsdrift; Fyrhjulsdrift","2","Snabb och spektakulär; Annorlunda i klassen; Premium-känsla","Okänt andrahandsvärde; Begränsad praktisk användning","Den som vill ha annorlunda EV-roadster","for_andrahandsvarde: Porsche Boxster"
"MINI","Cooper","Halvkombi","Småbil med stark personlighet. Cooper S är sportigare. Mycket rolig i stad och kurvor men hård fjädring och litet baksäte. Finns både med bensin och som elektrisk.","Bensin; El","Tvåhjulsdrift","4","Rolig i kurvor; Karaktärsfull design; Premium-känsla","Hård fjädring; Litet baksäte; Litet bagage","Singel eller par som söker karaktär","for_komfort: Audi A1"
"MINI","5-dörrars","Halvkombi","MINI-känsla med mer praktisk användning. Cooper S är populär. Roligare än de flesta småbilar men fortfarande trångt.","Bensin","Tvåhjulsdrift","5","Mer praktisk än 3-dörrars; Karaktärsfull; Rolig att köra","Fortfarande trångt; Hård fjädring","Småfamiljen som vill ha karaktär",""
"MINI","Cabriolet","Cabriolet","Rolig cabriolet för sommarkörning. Cooper S är populärt val. Charmig och lekfull men trång och bullrig på långresa.","Bensin","Tvåhjulsdrift","4","Charmig; Lekfull att köra; Öppen cabriolet","Trång på långresa; Bullrig; Litet bagage med tak nere","Sommarbil; Andra-bil i hushållet","for_premium: Mazda MX-5 RF"
"MINI","Countryman","SUV","Liten premium-SUV med personlighet. Cooper S eller elversion är populära. Roligare än många små SUV:ar men dyr med utrustning.","Bensin; Mildhybrid; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Karaktärsfull; Rolig att köra; Praktisk för MINI-modell","Dyr med utrustning; Inte lika rolig som mindre MINI","Familjen som vill ha karaktär","for_komfort: Volvo XC40"
"MINI","Countryman Electric","SUV","Charmig liten premium-elSUV. SE ALL4 är förstaval. Roligare än de flesta små EV-SUV:ar men inte bäst räckvidd.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Roligare än rivaler; Premium-känsla; Karaktärsfull","Inte klassledande räckvidd","Småfamiljen som vill ha karaktärsfull EV","for_effektivitet: Volvo EX30"
"MINI","Aceman","SUV","Liten el-crossover med personlighet. SE-versionen är vanligast. Charmig design och gokart-känsla.","El","Tvåhjulsdrift","5","Charmig design; Gokart-känsla; Bra storlek","Begränsat utrymme; Dyr för storleken","Stadsboende med EV-behov",""
"MINI","JCW","Halvkombi","Gokart-känsla i småbil. Automatversionen är vanligaste valet idag. Extremt rolig i kurvor men hård komfort och litet baksäte.","Bensin","Tvåhjulsdrift","4","Extremt rolig i kurvor; Karaktärsfull; Premium-känsla","Hård komfort; Litet baksäte; Hög försäkring","Entusiasten som söker gokart-känsla","for_komfort: Audi S1"
"Nissan","Juke","SUV","Liten SUV med annorlunda design. Hybridversionen är förstaval. Smidig i stad och lätt att parkera men begränsat baksäte och bagage.","Bensin; Hybrid","Tvåhjulsdrift","5","Annorlunda design; Smidig; Bra storlek för stad","Begränsat baksäte och bagage; Mindre kvalitetskänsla","Stadsboende","for_kvalitet: Toyota Yaris Cross"
"Nissan","Qashqai","SUV","Enkel familje-SUV som bara fungerar. e-Power är vanligt val (hybrid med eldrift). Lätt att köra och leva med.","Bensin; Mildhybrid; Hybrid (e-Power)","Tvåhjulsdrift","5","Lätt att köra; Praktisk; Pålitlig","Inte särskilt rolig; Anonym design","Familjer som vill ha problemfri SUV","for_premium: Volvo XC40"
"Nissan","X-Trail","SUV","Familje-SUV med möjlighet till sju säten. e-Power AWD är vanligt val. Bekväm och enkel familjebil men inte sportig.","Bensin; Hybrid (e-Power)","Tvåhjulsdrift; Fyrhjulsdrift","7","Sju säten möjligt; Bekväm; Enkel familjebil","Inte sportig; Anonym","Familjer som vill ha enkel sjusits","for_premium: Skoda Kodiaq"
"Nissan","Leaf","Halvkombi","Billig begagnad elbil. e+ är toppversionen. Enkel och driftsäker EV men gammal laddteknik (CHAdeMO) börjar bli problem.","El","Tvåhjulsdrift","5","Driftsäker; Billig begagnad; Enkel att äga","Gammal CHAdeMO-laddning; Begränsad räckvidd; Modellen utgår","Budget-EV-köpare","for_modern_teknik: MG4"
"Nissan","Ariya","SUV","Bekväm japansk el-SUV. e-4ORCE är AWD-versionen. Avslappnad att köra men inte lika effektiv som Tesla.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Avslappnad att köra; Snygg interiör; Bra komfort","Inte lika effektiv som Tesla; Begränsat laddnätverk","Familjer som vill ha lugn el-SUV","for_laddning: Tesla Model Y"
"Nissan","Ariya Nismo","SUV","Sportigare japansk el-SUV. AWD-versionen är förstaval. Bekväm men snabb långfärds-EV.","El","Fyrhjulsdrift","5","Sportigare än vanlig Ariya; Bekväm; Bra långfärdsbil","Inte lika dynamisk som Porsche Macan EV","Den som vill ha sportig japansk EV","for_korning: Kia EV6 GT"
"Nissan","GT-R","Coupé","Japansk superbil med AWD-grepp. Nismo är extra speciell. Brutal acceleration och ikonstatus men börjar kännas gammal invändigt.","Bensin","Fyrhjulsdrift","4","Brutal acceleration; Ikonisk status; AWD-grepp","Börjar kännas gammal; Hög förbrukning","Entusiasten som vill ha japansk superbil","for_precision: Porsche 911 Turbo"
"Opel","Corsa","Halvkombi","Enkel småbil. Finns även som elektrisk (Corsa Electric). 51 kWh-versionen är förstaval för EV. Lättkörd och smidig i stad.","Bensin; Mildhybrid; El","Tvåhjulsdrift","5","Lättkörd; Smidig i stad; Bra storlek","Inte särskilt snabb laddning; Anonym","Stadsboende; Förstabilskunden",""
"Opel","Astra","Halvkombi/Kombi","Prisvärd europeisk vardagsbil. Laddhybrid är populärt val. Bekväm och modern men inte lika rolig som Ford Focus.","Bensin; Mildhybrid; Laddhybrid; El","Tvåhjulsdrift","5","Bekväm; Modern interiör; Prisvärd","Inte lika rolig som Ford Focus; Anonym","Pendlaren; Småfamiljen",""
"Opel","Astra Sports Tourer","Kombi","Billig och modern familjekombi. Laddhybrid är populärt val. Praktisk och bekväm i vardagen.","Bensin; Mildhybrid; Laddhybrid; El","Tvåhjulsdrift","5","Praktisk; Bekväm; Bra laddhybrid","Inte lika premium som VW Passat","Familjer; Pendlare med utrymmesbehov",""
"Opel","Crossland","SUV","Billig och enkel crossover. Praktisk för stad och familj men känns enkel invändigt.","Bensin","Tvåhjulsdrift","5","Praktisk; Smidig; Prisvärd","Enkel invändigt; Anonym","Stadsboende med familj","for_design: Peugeot 2008"
"Opel","Mokka Electric","SUV","Liten el-SUV med modern design. 54 kWh-versionen är förstaval. Lätt att parkera i smala utrymmen.","Bensin; Mildhybrid; El","Tvåhjulsdrift","5","Modern design; Smidig; Bra stadsbil","Begränsat utrymme; Inte klassledande räckvidd","Stadsboende med EV-behov","for_komfort: Peugeot e-2008"
"Opel","Zafira Life","Familjevan","Stor familje- eller shuttlebil. Dieselautomat är vanligt val. Enormt utrymme och flexibilitet.","Diesel; El","Tvåhjulsdrift","9","Mycket utrymme; Flexibel inredning; Bra för stora grupper","Stor och klumpig i stad; Mer transportbil än personbil","Storfamiljen; Shuttle-användning",""
"Peugeot","2008","SUV","Liten SUV med modern design. Elversionen är populär. Snygg interiör för klassen men trångt baksäte för familjen.","Bensin; Mildhybrid; El","Tvåhjulsdrift","5","Snygg interiör; Modern design; Bra storlek","Trångt baksäte; i-Cockpit delar åsikter","Stadsboende; Småfamiljen","for_komfort: Hyundai Kona"
"Peugeot","e-3008","SUV","Modern el-SUV med designfokus. Long Range-versionen är förstaval. Snygg interiör och komfort men mjukvaran inte bäst.","El","Tvåhjulsdrift","5","Snygg interiör; Bra komfort; Modern design","Mjukvaran inte bäst; i-Cockpit delar åsikter","Designorienterade EV-köpare","for_effektivitet: Tesla Model Y"
"Peugeot","408","SUV/Sedan","Annorlunda crossover-sedan. Laddhybrid är populärt val. Modern design men begränsat baksäte för storleken.","Bensin; Laddhybrid","Tvåhjulsdrift","5","Modern design; Karaktärsfull; Bra utrustning","Begränsat baksäte; Polariserande design","Den som vill ha annorlunda kombi-SUV","for_komfort: Renault Austral"
"Peugeot","508 SW","Kombi","Snygg och låg kombi istället för SUV. Laddhybriden är förstaval. Elegant design men mindre praktisk än större kombis.","Bensin; Laddhybrid","Tvåhjulsdrift","5","Elegant design; Bra som tjänstebil; Praktisk","Mindre praktisk än stora kombis; i-Cockpit delar åsikter","Designorienterade tjänstebilsförare","for_bagage: Skoda Superb"
"Peugeot","5008","SUV","Snygg sjusits-SUV för familjen. Hybridversionen är populär. Modern interiör men inte lika stor invändigt som vissa rivaler.","Bensin; Hybrid; El","Tvåhjulsdrift","7","Sju säten; Modern interiör; Snygg design","Mindre invändigt än rivaler; Trångt på tredje raden","Familjer som vill ha designtyngd sjusits","for_utrymme: Skoda Kodiaq"
"Peugeot","Traveller","Familjevan","Stor familje- eller taxibil. Dieselautomat är vanligt val. Mycket plats invändigt men opraktisk i stad.","Diesel; El","Tvåhjulsdrift","9","Mycket plats; Flexibel; Bra för stora grupper","Stor i stad; Mer transportbil","Storfamiljen; Taxi-användning","for_premium: Mercedes V-klass"
"Polestar","Polestar 1","Coupé","Exklusiv hybrid-GT med samlarpotential. Endast en version. Fantastisk design och byggkvalitet men dyr och ovanlig service. Modellen utgår.","Laddhybrid","Fyrhjulsdrift","4","Fantastisk design; Hög byggkvalitet; Samlarpotential","Mycket dyr; Ovanlig service; Modellen utgår","Samlaren","for_korning: Porsche Panamera"
"Polestar","Polestar 2","Halvkombi","Minimalistisk premium-elbil. Long Range Dual Motor är förstaval. Bra chassi och Google-system men trångt baksäte för familj.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra chassi; Premium-känsla; Google-system","Trångt baksäte; Fast fjädring; Begränsad sikt","Den som vill ha minimalistisk premium-EV","for_komfort: BMW i4"
"Polestar","Polestar 2 BST Edition","Halvkombi","Hårdare och förarorienterad Polestar 2. Bra chassi och styrning men hård komfort i vardagen.","El","Fyrhjulsdrift","5","Bra chassi; Förarorienterad; Exklusiv","Hård komfort; Dyr","Entusiasten med fokus på chassi","for_komfort: BMW i4"
"Polestar","Polestar 3","SUV","Skandinavisk premium-elSUV. Dual Motor är förstaval. Hög säkerhets- och kvalitetskänsla men dyr jämfört med andra.","El","Fyrhjulsdrift","5","Hög säkerhet och kvalitet; Snygg design; Bra långfärdsbil","Dyr; Begränsat servicenät","Familjer som vill ha skandinavisk premium-EV","for_reparation: Tesla Model X"
"Polestar","Polestar 3 Performance","SUV","Sportigare premium-elSUV. Performance Pack är förstaval för entusiaster. Bra balans mellan komfort och fart.","El","Fyrhjulsdrift","5","Bra balans komfort och fart; Hög säkerhet; Snygg","Dyr; Tung","Den som vill ha sportig premium el-SUV","for_laddnatverk: Tesla Model X"
"Polestar","Polestar 4","SUV","Futuristisk premium-elSUV utan bakruta (kamera istället). Dual Motor är förstaval. Snabb och modern design.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Snabb; Modern design; Unik koncept","Saknar bakruta; Polariserande design","Den som vill ha futuristisk premium-EV","for_komfort: Mercedes EQE SUV"
"Polestar","Polestar 5","Sedan","Kommande premium-el-GT. Performance-versionerna blir mest intressanta. Fokus på körning och design.","El","Fyrhjulsdrift","4","Fokus på körning; Snygg design; Premium-känsla","Förväntat dyr; Inte tillgänglig ännu","Den som vill ha framtidens el-GT","for_komfort: Porsche Taycan"
"Polestar","Polestar 6","Cabriolet","Kommande elektrisk roadster med premiumfokus. Performance-versionen blir vanligaste valet. Fokus på design och körkänsla.","El","Fyrhjulsdrift","2","Snygg design; Premium-känsla","Förväntat dyr; Begränsad praktisk användning","Den som vill ha el-roadster",""
"Porsche","911","Coupé/Cabriolet","Världens bästa allround-sportbil enligt många. Carrera 4 GTS är vanligt val. Fantastisk körkänsla och högt andrahandsvärde. Mycket bred motorflora.","Bensin","Tvåhjulsdrift; Fyrhjulsdrift","4","Fantastisk körkänsla; Högt andrahandsvärde; Bred motorflora","Mycket dyr med utrustning; Dyra reparationer","Entusiasten med fokus på körkänsla","for_vardag: BMW M4"
"Porsche","911 Dakar","Coupé","Unik sportbil för alla underlag. Endast en version. Fantastisk kombination av 911 och offroad-kapacitet.","Bensin","Fyrhjulsdrift","4","Unik koncept; Allroad-kapacitet; Samlarpotential","Extremt dyr; Begränsad produktion","Samlaren med fokus på unika modeller",""
"Porsche","718 Spyder/Cayman GT4","Coupé/Cabriolet","En av världens bästa öppna/stängda sportbilar. Manuell låda är klassikern. Fantastisk sugmotor och balans.","Bensin","Tvåhjulsdrift","2","Fantastisk sugmotor; Manuell låda; Mid-engine balans","Opraktisk; Dyr","Hardcore-entusiasten",""
"Porsche","718 Cayman/Boxster","Coupé/Cabriolet","Ren körglädje. GTS 4.0 är förstaval för entusiaster. Fantastisk balans och styrning men opraktisk som vardagsbil.","Bensin","Tvåhjulsdrift","2","Fantastisk balans; Mid-engine layout; Bra styrkänsla","Opraktisk; Begränsat bagage; Endast två säten","Entusiasten med fokus på körglädje","for_komfort: BMW M2"
"Porsche","Cayenne","SUV","SUV som känns som sportbil. E-Hybrid är populärt val. Fantastisk styrning och premiumkänsla men dyr drift.","Bensin; Laddhybrid","Fyrhjulsdrift","5","Sportig SUV; Premium-känsla; Bra dragbil","Dyr drift; Tung; Dyra tillval","Familjeföraren med körglädjekrav","for_komfort: Audi Q7"
"Porsche","Macan","SUV","Sportig premium-SUV med bäst köregenskaper i klassen. GTS är förstaval för entusiaster. Begränsat baksäte mot större SUV:ar.","Bensin","Fyrhjulsdrift","5","Bäst körkänsla i klassen; Premium-känsla; Bra balans","Begränsat baksäte; Dyr","Sportiga föraren med familjebehov","for_komfort: Mercedes GLC"
"Porsche","Macan Electric","SUV","Sportig premium-elSUV. 4S är förstaval. Fantastiska köregenskaper för EV-SUV men dyr.","El","Fyrhjulsdrift","5","Fantastiska köregenskaper; Premium-känsla; Modern teknik","Dyr; Begränsad räckvidd vid hård körning","Sportiga föraren med EV-behov","for_varde: Kia EV6 GT"
"Porsche","Panamera","Sedan/Kombi","Sportbil och lyxsedan i samma bil. E-Hybrid är populärt val. Fantastisk balans mellan komfort och prestanda.","Bensin; Laddhybrid","Fyrhjulsdrift","4","Bra balans komfort och prestanda; Premium-känsla; Bra långfärdsbil","Mycket dyr med utrustning","Långpendlare med körglädjekrav",""
"Porsche","Taycan","Sedan/Kombi","Bästa elbilen för körglädje enligt många. 4S är förstaval. Fantastisk styrning och snabb laddning.","El","Fyrhjulsdrift","4","Fantastisk styrning; Snabb laddning (800V); Premium-känsla","Mycket dyr med utrustning; Begränsat bagage","Entusiasten med EV-behov","for_varde: Hyundai IONIQ 5 N"
"Renault","Clio","Halvkombi","Billig och snål småbil. Hybridversionen är förstaval. Mycket låg förbrukning i stad men trång för större familj.","Bensin; Mildhybrid; Hybrid","Tvåhjulsdrift","5","Låg förbrukning; Smidig i stad; Bra hybrid","Trång för större familj; Anonym","Stadsboende; Pendlaren","for_kvalitet: Toyota Yaris"
"Renault","5 E-Tech","Halvkombi","Retro-elbil för stad och vardag. 52 kWh-versionen är förstaval. Charmig design och låg driftkostnad.","El","Tvåhjulsdrift","4","Charmig retro-design; Låg driftkostnad; Bra stadsbil","Begränsat utrymme","Stadsboende med EV-behov; Designorienterad köpare",""
"Renault","Arkana","SUV","Coupe-SUV till rimligt pris. Hybridversionen är förstaval. Snyggare än vanliga SUV:ar men begränsat familjeutrymme.","Bensin; Mildhybrid; Hybrid","Tvåhjulsdrift","5","Snygg coupé-design; Bra hybrid; Prisvärd","Begränsat familjeutrymme; Trångt baksäte","Den som vill ha snygg SUV","for_utrymme: Cupra Formentor"
"Renault","Austral","SUV","Bekväm familje-SUV till bra pris. Hybridversionen är förstaval. Tyst och enkel att leva med men svagare premiumkänsla.","Bensin; Hybrid","Tvåhjulsdrift","5","Tyst; Enkel att leva med; Bra hybrid","Svagare premiumkänsla","Familjer som vill ha bekväm SUV",""
"Renault","Megane E-Tech","SUV","Enkel och bekväm elbil för vardagen. EV60 är förstaval. Lätt att köra och parkera men mindre bagage än SUV-konkurrenter.","El","Tvåhjulsdrift","5","Lätt att köra; Smidig; Modern design","Mindre bagage än SUV-konkurrenter","Pendlaren med EV-behov","for_rackvidd: Tesla Model 3"
"Renault","Scenic E-Tech","SUV","Bekväm och praktisk el-SUV för familjen. Rymlig elbil med god komfort. Inte sportig men trygg familjebil.","El","Tvåhjulsdrift","5","Rymlig; Komfortabel; Bra familjebil","Inte sportig; Begränsat laddnätverk jämfört med Tesla; Lägre premiumkänsla","Familjer som vill ha praktisk el-SUV","for_teknik: Tesla Model Y"
"Seat","Arona","SUV","Enkel och billig crossover. TSI automat är förstaval. Smidig och billig att äga men begränsat utrymme för familj.","Bensin","Tvåhjulsdrift","5","Smidig; Billig att äga; Bra storlek","Begränsat utrymme; Börjar bli äldre","Stadsboende; Småfamiljen","for_kvalitet: Volkswagen T-Cross"
"Seat","Ateca","SUV","Praktisk SUV utan premiumpris. AWD-versionerna är populära i Sverige. Lätt att leva med men börjar kännas äldre i teknik.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Praktisk; Bra pris; Tillgänglig som AWD","Börjar kännas äldre; Inte mest moderna tekniken","Familjen med budget","for_modern_teknik: Cupra Terramar"
"Seat","Ibiza","Halvkombi","Billig och rolig småbil. TSI automat är förstaval. Lättkörd och ungdomlig känsla men enklare interiör än VW Polo.","Bensin","Tvåhjulsdrift","5","Lättkörd; Ungdomlig; Prisvärd","Enklare interiör än Polo","Stadsboende; Förstabilskunden","for_kvalitet: Volkswagen Polo"
"Seat","Leon","Halvkombi/Kombi","Billigare Golf med sportigare känsla. eTSI-versionen är populär. Roligare att köra än många konkurrenter men enklare interiör än VW.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Roligare än Golf; Prisvärd; Bra utrustning","Enklare interiör än Volkswagen","Sportiga pendlare","for_premium: Audi A3"
"Seat","Mii Electric","Halvkombi","Billig och enkel stads-EV. Endast en relevant version. Mycket låg driftkostnad men kort räckvidd. Modellen utgår.","El","Tvåhjulsdrift","4","Mycket låg driftkostnad; Smidig; Bra stadsbil","Kort räckvidd; Modellen utgår","Stadsboende; Andra-bil","for_modernitet: Renault 5 E-Tech"
"Seat","Alhambra","Familjevan","Familjebil med sju säten. Diesel DSG är förstaval. Extremt praktisk för barnfamilj men känns gammal jämfört med moderna SUV:ar. Modellen utgår.","Bensin; Diesel","Tvåhjulsdrift","7","Sju säten; Stora skjutdörrar; Praktisk","Känns gammal; Modellen utgår","Storfamiljen","for_modernitet: Kia EV9"
"Skoda","Octavia Combi","Kombi","Marknadens smartaste familjekombi enligt många. Diesel eller laddhybrid är vanligaste valen. Extremt mycket plats för pengarna.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Gigantiskt bagage; Praktisk; Prisvärd","Inte premium; Enkel interiör; Lite buller på motorväg","Familjer som vill ha mycket bil för pengarna",""
"Skoda","Superb Combi","Kombi","Enorm långfärdskombi. Laddhybriden är populär. Nästan premiumutrymme för lägre pris men känns stor i stad och parkering.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Enormt utrymme; Bra komfort; Prisvärd för storleken","Stor i stad; Mindre statusladdat märke","Långpendlare; Familjer som kör mycket","for_premium: Mercedes E-klass kombi"
"Skoda","Kodiaq","SUV","Stor SUV för familj och semester. AWD diesel eller hybrid är vanligaste valen. Enormt utrymme med möjlighet till sju säten.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","7","Enormt utrymme; Sju säten möjligt; Praktisk","Stor; Inte sportig; Hög vikt","Storfamiljen","for_premium: Volvo XC90"
